,content,sentiment,content_preprocessed
1332,"Selamat siang..tadi saya konfirmasi ke satpas terdekat (purwokerto, banyumas, jawa tengah), jawaban nya yaitu tetap harus mengurus permohonan perpanjang SIM C secara langsung/off line karena satpas banyumas blm terdaftar jg di aplikasi, jumat bsk tgl 7 mei bsk mau saya urus daripada telat lewat tgl 9 mei..dan mohon pembayaran yg sdh saya transfer ke digital korlantas polri utk segera dikembalikan secepatnya & proses SIM online di cancel saja..terimakasih",Negatif,selamat siang konfirmasi satpas dekat purwokerto banyumas jawa urus mohon panjang sim sih langsung off line satpas banyumas daftar aplikasi jumat besok tanggal mei besok urus telat tanggal mei mohon bayar transfer digital korlantas polri kembali cepat proses sim online cancel terimakasih
1333,"cuman bisa provinsi dki dan jatim, gimana ni, udah terlanjur bayar psikotest",Negatif,cuman provinsi dki jatim nih lanjur bayar psikotest
1334,"Tidak bisa verifikasi foto, tidak bisa simpan data sim, aplikasi tidak bisa digunakan. Uang rakyat digunakan untuk develop aplikasi gagal dan parahnya sudah dilaunching.",Negatif,verifikasi foto simpan data sim aplikasi uang rakyat develop aplikasi gagal parah dilaunching
1335,Noob,Negatif,noob
1336,Saya mau bikin sim tapi d aplikasi Kok pembuatan sim belum tersedia ya min??,Negatif,bikin sim aplikasi buat sim sedia min
1337,Kenapa saat verifikasi ktp atau wajah selalu gagal ? Padahal saya sudah mengikuti arahan. Mohon untuk bantuan nya.,Negatif,verifikasi ktp wajah gagal ikut arah mohon bantu
1338,"Kenapa aku verifikasi muka gak bisa ya, dah aku coba berkali"" hasilnya gagal, padahal sinyal, pencahayaan, n sudah ngikuti pandduan",Negatif,verifikasi muka deh coba kali hasil gagal sinyal cahaya n ngikuti pandduan
1339,"MBOK YA TOLONG DIPUBLIKASIKAN WILAYAH POLDA MANA SAJA YANG BISA MENGGUNAKAN APLIKASI TIDAK KOMPLIT INI ? SANGAT KECEWA !! TIDAK USAH DI INSTAL, TIDAK BERGUNA DI WILAYAH POLDA JATENG !",Negatif,mbok tolong publikasi wilayah polda aplikasi komplit kecewa instal guna wilayah polda jateng
1340,"Satpas Jabar kaga ada buset ini udh mah buang2 waktu di tes rikkes sma tes psikologi bayar ujung ujungnya gak bisa, Kalo emng blom siap gausah di release ini aplikasi Fungsi diterbitkan aplikasi tuh untuk mempermudah Bukan malah ngeribetin kerja 2 kali udh keluar biaya gabisa Kasih keterangan di aplikasi HANYA UNTUK WILAYAH PODA ( METRO JAYA & JATIM)",Negatif,satpas jabar kagak buset mah buang tes rikkes tes psikologi bayar ujung ujung kalo gausah release aplikasi fungsi terbit aplikasi tuh mudah ngeribetin kerja biaya gabisa kasih terang aplikasi wilayah poda metro jaya jatim
1341,"Saya selalu gagal dalam verifikasi KTP, sudah ikuti anjuran tetap ggl terus padahal internet memadai mohon solusinya .",Negatif,gagal verifikasi ktp ikut anjur ggl internet pada mohon solusi
1342,Kok verifikasi ktp nya gabisa ya,Negatif,verifikasi ktp gabisa
1343,"Udah mangap, geleng geleng, ngangguk-ngangguk, kedip-kedip tetep ga bisa verifikasi. Apa muka saya yang gagal 😰",Negatif,mangap geleng geleng ngangguk-ngangguk kedip verifikasi muka gagal
1344,Untuk daerah probolinggo Jatim kenapa masih belum bisa di akses ?,Negatif,daerah probolinggo jatim akses
1345,Udah tes psikologi dan tes kesehatan ternyata lokasi ku tinggal gak ada. Sedih kali harus lewat jalur offline bayar ulang tes psikologi sama tes kesehatan.,Negatif,tes psikologi tes sehat lokasi ku tinggal sedih jalur offline bayar ulang tes psikologi tes sehat
1346,buruk !!,Negatif,buruk
1347,Sejak pertama kali download Aplikasi ini sampai sekarang tidak bisa daftar data Profil. 😓,Negatif,download aplikasi daftar data profil
1348,"Mau isi erikkes sama eppsi ga bisa pak,, di minta download aplikasi tp, ga bisa di download aplikasinya",Negatif,isi erikkes eppsi download aplikasi download aplikasi
1349,Saya verifikasi gak bisa2 udh beberapa kali foto,Negatif,verifikasi foto
1350,"Melalui aplikasi ini, sy sudah bayar untuk psikotes dan sudah tes, dinyatakan lulus. Selanjutnya sy diarahkan untuk tes kesehatan di tempat yg di tunjuk aplikasi, yaitu salah satunya di klinik pratama urkes di jl.M.Duryat no.45 (Polresta Sidoarjo). Sesampai di Polresta Sda, dikatakan hrs mengulang psikotes lg dan bayar lagi, alasannya Polresta Sda blm bisa melayani untuk perpanjangan SIM Online, dan skln tes kesehatan disitu. Lalu bgmn, pdhl di aplikasi sy sudah bayar untuk psikotes.",Negatif,aplikasi bayar psikotes tes nyata lulus arah tes sehat aplikasi salah satu klinik pratama urkes jl duryat no polresta sidoarjo polresta sda ulang psikotes bayar alas polresta sda layan panjang sim online skln tes sehat situ aplikasi bayar psikotes
1351,Pasti alasan mohon maaf mengalami lonjakan.... Sementara masa berlaku sim sudah habis... Status belum berubah... Kalau belum siap dari segala sesuatunya mending jangan dilaunching aplikasi ini,Negatif,alas mohon maaf alami lonjak laku sim habis status ubah mending dilaunching aplikasi
1352,"Saya mengalami kendala yang dimana lacak paket kiriman POS tidak bisa dilacak, nomor resi nya ketika saya lacak tidak terdeteksi. Saya bingung ini, SIM saya tanggal 11 ini mati, sedangkan saya menunggu SIM online tak kunjung datang,",Negatif,alami kendala mana lacak paket kirim pos lacak nomor resi lacak deteksi bingung sim tanggal mati tunggu sim online kunjung
1353,Verifikasi nya terlalu rumit sehingga sering gagal,Negatif,verifikasi rumit gagal
1354,"Pak tolong diperbaiki aplikasinya, karena di dalam menu SIM semuanya tidak bisa di akses dengan note:Layanan belum tersedia,layanan yang anda pilih masih dalam proses pengembangan. Kalau semuanya ga bisa dipilih dengan kata lain aplikasi ini tidak bisa dipakai dan sangat tidak bermanfaat untuk masyarakat Indonesia dalam hal mengurus SIM secara online.",Negatif,tolong baik aplikasi menu sim akses note layan sedia layan pilih proses kembang pilih aplikasi pakai manfaat masyarakat indonesia urus sim online
1355,"Aplikasi nya belom siap bener2 masa verifikasi ktp ajh susah amet , udah tengok kanan kiri , mangap lah apalah masih ajh gagal tolong lebih di tingkatkan lagi aplikasi nya , gtuh cara nya gimna masyarakat bisa nikmati layanan sim secara online",Negatif,aplikasi verifikasi ktp susah amet tengok kanan kiri mangap apa gagal tolong tingkat aplikasi masyarakat nikmat layan sim online
1356,"Gabisa verifikasi wajah udah berulang kali, hingga sampai belasan kali tetap gagal. Mau ngurus langsung ke satlantas dipastikan harga berkali lipas hingga 400ribu. Karena sibuk ngurus orang tua sakit, hingga kelupaan tgl 1mei kemarin sim mati, lupa perpanjang. Kalau biat baru langsung ke lantas biaya pasti tidak sesuai, bisa sampai 400ribuan",Negatif,gabisa verifikasi wajah ulang bas gagal urus langsung satlantas harga kali lipas ribu sibuk urus orang tua sakit lupa tanggal mei kemarin sim mati lupa panjang biat langsung lantas biaya sesuai ribu
1357,"setelah hampir 2 minggu menunggu, tnyta proses ditolak dgn keterangan alasan upload foto SIM tidak sesuai(resolusi mgkn kegedean) , tapi tnyta dibalikin uang nya ga smuanya, minus 10rb, entah kenapa selisih bgtu",Negatif,minggu tunggu tnyta proses tolak terang alas upload foto sim sesuai resolusi gede tnyta dibalikin uang smuanya minus ribu selisih
1358,"Susah banget mau foto, gak berhasil. Selalu ""tidak sesuai..."" Padahal udah ngikutin",Negatif,susah banget foto hasil sesuai ikut
1359,Sy daftar aplikasi sj blom berhasil...,Negatif,daftar aplikasi hasil
1360,Hallo jika saya ingin membatalkan proses kenapa tidak bisa ya?,Negatif,halo batal proses
1361,"Verifikasi KTP yang foto wajah nya gagal mulu, nyusahin",Negatif,verifikasi ktp foto wajah gagal mulu susah
1362,Sy tdk bisa verifikasi ktp padahal udah ambil foto berulang kali,Negatif,verifikasi ktp ambil foto ulang
1363,"Verifikasi wajah gagal terus, padahal wajah saya asli",Negatif,verifikasi wajah gagal wajah asli
1364,"Verifikasi KTP gagal terus, cape mangap2 geleng2 angguk2, lama2 copot nih...",Negatif,verifikasi ktp gagal capek mangap geleng angguk copot nih
1365,Mau daftar susah banget Verifikasi e-ktp gagal terus Pdahal sudah mengikuti intruksi,Negatif,daftar susah banget verifikasi e-ktp gagal ikut intruksi
1366,"Mau tes kesehatan ke faskes terdaftar, eh katanya belum ada instruksi lg dr sananya. Jd ga bisa. Aplikasinya belum sempurna nih, kebanyakan ga bisanya",Negatif,tes sehat faskes daftar eh instruksi sana aplikasi sempurna nih banyak bisa
1367,Upload data kelengkapan gagal terus padahal sudah sesuai kriteria. Mon maaf nih Pak bintang 1 dulu ya,Negatif,upload data lengkap gagal sesuai kriteria mon maaf nih bintang
1368,"verifikasi ktp aja susah setengah mati, gagal terus, padahal pencahayaan kurang gimana lgi duhhh",Negatif,verifikasi ktp susah mati gagal cahaya duh
1369,Well,Negatif,well
1370,Terkendala di e-rikkes nya. Sudah foto wajah 5000 kali selalu no available. Aplikasinya ngerjain ni niat mau ngurus SIM tp terkendala foto wajah doang.,Negatif,kendala e-rikkes foto wajah no available aplikasi ngerjain nih niat urus sim kendala foto wajah doang
1371,"Untuk wilayah rejang lebong bengkulu,apakah udah bisa nenggunakan Aplikasi ini...?",Negatif,wilayah rejang lebong bengkulu nenggunakan aplikasi
1372,Verifikasi e-ktp susah sekali.,Negatif,verifikasi e-ktp susah
1373,Payah..ktanya lewat online bikin sim bisa tpi kenyataanya sungguh mengecewakan.. Tertera keterangan masih dalam pengembangann terus,Negatif,payah online bikin sim kenyataanya sungguh kecewa tera terang pengembangann
1374,"Bila memang aplikasi belum matang alangkah lebih baik jng di launching dahulu,saya mau daftar sim namun belum tersedia.",Negatif,aplikasi matang alangkah launching daftar sim sedia
1375,"Perbaiki! mau bikin SIM baru susahnya nauzubillah. Kalo udah pake aplikasi begini harusnya jadi lebih mudah bukan malah jadi susah dan ribet, betapa senangnya pas dengar bikin SIM baru bisa lewat online tapi pas dicoba aplikasinya malah mengecewakan.",Negatif,baik bikin sim susah nauzubillah kalo pakai aplikasi mudah susah ribet betapa senang pas dengar bikin sim online pas coba aplikasi kecewa
1376,Maaf sya krng puas dngn sistem oprasional apk ini Ada 3 poin 1. Alamat tjuan pngriman lwt POS. Yg hny bsa d isi secara otomatis dan tdk bsa d isi manual. Krna kecamatan tmpt sya tinggal tdk ada di opsi otomatis tsb. 2. Form masa pembuatan dan msa brlaku knp ada yg aneh? Semisal SIM lama d buat thn 2017 brkhir 2021. Itu sudah d isi k form. Tp knp data itu msuk k data SIM baru. 3. Mslah pmbyran knp tdk d permudah melalui tranfer antar bank. Krna yg bisa transaksi hny digital akun bank BNI.,Negatif,maaf puas dngn sistem oprasional apk poin alamat tjuan pngriman pos isi otomatis isi manual camat tinggal opsi otomatis form buat brlaku aneh sim brkhir isi form data masuk data sim mslah bayar mudah tranfer bank transaksi digital akun bank bni
1377,Verfikasi ktp selalu gagal uda coba sampai beberapa hari hasil sama uda ikutin panduan.,Negatif,verfikasi ktp gagal coba hasil ikut pandu
1378,Wilayah Polda Jabar lemot gila parah tolong min tgl 23 Mei ini,Negatif,wilayah polda jabar lot gila parah tolong min tanggal mei
1379,"KECEWA SANGAT!!! Sudah psikotest dan dinyatakan LULUS, lalu pemeriksaan ke RS yang ditunjuk oleh aplikasi, ternyata server eror. Diminta menunggu selama 2hari dan akhirnya dikabarkan aplikasi kesehatannya TIDAK BISA DIGUNAKAN!! Lalu diminta langsung perpanjang SIM nya dimobil perpanjangan SIM. Tolong lah, kalau memang belum rampung jangan dulu diluncurkan aplikasinya, saya sudah menunggu selama 3hari dan hasilnya ZONK!! TERIMA KASIH.",Negatif,kecewa psikotest nyata lulus periksa rs aplikasi server eror tunggu kabar aplikasi sehat langsung panjang sim mobil panjang sim tolong rampung luncur aplikasi tunggu hasil zonk terima kasih
1380,"Maaf pak, saya saat verifikasi wajah untuk verifikasi ktp sudah mengikuti arahan di aplikasi, namun yg sy dapatkan hanya tulisan GAGAL, terus dan terus saya coba.. dengan coba mengganti pakaian yg sama dengan ktp dan dengan pencahayaan yg baik. Sudah di ikutin dengan baik namun GAGAL terus.",Negatif,maaf verifikasi wajah verifikasi ktp ikut arah aplikasi dapat tulis gagal coba coba ganti pakai ktp cahaya ikut gagal
1381,Udah satu bulan Bolak balik verifikasi ktp gagal terus. Aplikasi ini khusus buat jawa atau seluruh indonesia. Saya curiga aplikasi ini lagi masa uji coba khusus di pulau jawa.,Negatif,bolak verifikasi ktp gagal aplikasi khusus jawa indonesia curiga aplikasi uji coba khusus pulau jawa
1382,Bikin aplikasi yang bener nape Ane pengen verifikasi wajah aja susah banget kaga bisa bisa . begimana cara nya ini udah mau masuk masa tenggang SIM ane nih...,Negatif,bikin aplikasi nape ane pengin verifikasi wajah susah banget kagak begimana masuk tenggang sim ane nih
1383,"Saat verifikasi e-KTP selalu gagal, pada saat pengambilan foto wajah, padahal saya sudah mengikuti panduan dengan mengikuti gerakan wajah dan kepala. Tolong arahannya. Terimakasih",Negatif,verifikasi e-ktp gagal ambil foto wajah ikut pandu ikut gera wajah kepala tolong arah terimakasih
1384,Aplikasi busuk. Antri lama tp gabisa online.,Negatif,aplikasi busuk antri gabisa online
1385,maaf saya kasih bintang satu dulu karena saat saya klik menu online kemudia muncul verifikasi email dan di suruh cek email dan sampai sekarang email belum ke kirim ke email saya dan saya kesusahan untuk memperpanjang sim online.,Negatif,maaf kasih bintang klik menu online kemudia muncul verifikasi email suruh cek email email kirim email susah panjang sim online
1386,Kenapa gagal terus verifikasi e ktp.. Ada solusi kah..,Negatif,gagal verifikasi e ktp solusi kah
1387,"Pak klu saya perpanjang SIM melalui aplikasi ini, proses pembayaran baru 40% padahal uang pembayaran sdh ditansfer lunas, kartu SIM belum dicetak, sementara masa berlaku SIM tinggal beberapa hari lagi, jatohnya SIM saya mati atau bagaimana, mohon infonya ? Terima Kasih",Negatif,panjang sim aplikasi proses bayar uang bayar ditansfer lunas kartu sim cetak laku sim tinggal jatohnya sim mati mohon info terima kasih
1388,untuk wilayah Polda JABAR kok. ga bisa..,Negatif,wilayah polda jabar
1389,"Astagfirullah, saya ngirim OTP verifikasi aja ga ada notif sama sekali, ini servernya tolong di perbagus min saya butuh bgt buat perpanjang sim online",Negatif,astagfirullah kirim otp verifikasi notif servernya tolong bagus min butuh banget panjang sim online
1390,"Saya bingung, kenapa SIM C saya status ""UNVERIFIED"", bagaimana supaya ganti jadi ""VERIFIED"" ???? Padahal data yg saya masukan sesuai dengan yg ada di SIM saya",Negatif,bingung sim sih status unverified ganti verified data masuk sesuai sim
1391,"Min, moohon maaf saya sudah beberapa kali coba dan coba untuk verifikasi wajah selalu gagal...",Negatif,min moohon maaf coba coba verifikasi wajah gagal
1392,"Good buat POLRI,tp saya pikir ini sudah terlambat dilaksanankan, harusnya e-KTP ,SIM ,KARTU KELUARGA dan STNK kendaraan harusnya dilink,jd aksesnya hanya satu yaitu NIK e-KTP,jd ketahauan Kl seseorang Cacat Hukum, punya kendaraan Lebih dr 1 dan SIM lg proses TILANG,dibuat SYTEM BARCODE(intinya BARCODE di e-KTP,STNK,SIM semunya sama)sama seperti LINK AJA untuk BANK BUMN,jd ga ada alasan SIM KU TINGGAL,STNK ku tinggal, buka Handphone aja,makasih,salam",Negatif,good polri pikir lambat dilaksanankan e-ktp sim kartu keluarga stnk kendara dilink akses nik e-ktp ketahauan kalo cacat hukum kendara sim proses tilang sytem barcode inti barcode e-ktp stnk sim semu link bank bumn alas sim ku tinggal stnk ku tinggal buka handphone makasih salam
1393,"Verifikasi KTP doang susahnya minta ampun. 1 jam lebih mangap mangap kedip kedip geleng geleng sampe leher pegel. Jawabannya gitu doang, kalo bukan ""gagal"" atau ""gerakan tidak sesuai"". Padahal udah ngikutin sesuai instruksi. Pencahayaan juga udah terang, kamera HP juga bagus. Apa muka ane dari awal udah salah ya? Sampe gk bisa kedetek sama sistem?",Negatif,verifikasi ktp doang susah ampun jam mangap mangap kedip kedip geleng geleng leher gel jawab doang kalo gagal gera sesuai ikut sesuai instruksi cahaya terang kamera hp bagus muka ane salah kedetek sistem
1394,Pengisian untuk polda jateng belum disertakan.,Negatif,isi polda jateng serta
1395,"Aplikasi sering keluar, udah bayar tp status di tolak, gatau lg dah, pdahal berlaku udh mau abis, ga ngerti lg",Negatif,aplikasi bayar status tolak gatau deh laku habis erti
1396,Verivikasi KTP gagal melulu padahal sudah sesuai gerakan.,Negatif,verivikasi ktp gagal melulu sesuai gera
1397,Alhamdulillah ada pembaharuan tapi kenapa masih ngga bisa verifikasi wajah🤦‍♂️,Negatif,alhamdulillah baharu verifikasi wajah
1398,Dear Korlantas Metrojaya Saya sudah melakukan perpanjangan SIM dari tanggal 1 mei sdh melakukan pembayaran tapi sampai sekarang statusnya di aplikasi tdk berubah.,Negatif,dear korlantas metrojaya panjang sim tanggal mei bayar status aplikasi ubah
1399,Jelek banget apk nya verifikasi gerakan wajah gagal terus... Anggukan kepala goyangkan kepala gagal trus. Gw udah 2 x unduh apk ini..masih gagal trus. Pesan gw buat admin klo belum siap 100% jgn dulu lah.,Negatif,jelek banget apk verifikasi gera wajah gagal angguk kepala goyang kepala gagal gue unduh apk gagal pesan gue admin kalo
1400,"Verifikasi wajah gagal terus,susah,nyerah saya pak",Negatif,verifikasi wajah gagal susah nyerah
1401,Ngisi satpas susah buangeeeeeeettt..muter trus gk bisa masuk..masa iya cuma tersedia di polda Jatim sama metro jaya...gimana nih pak?????,Negatif,ngisi satpas susah buangeeeeeeettt muter masuk iya sedia polda jatim metro jaya nih
1402,"Terlanjur daftar, test, lulus, udah bayar tapi Polda JATENG blm ada ya? 😭😭😭",Negatif,lanjur daftar test lulus bayar polda jateng
